date,race,distance,website
2025-04-19,Traprock Trail Races,17k,https://ultrasignup.com/register.aspx?did=115596
2025-05-18,Soapstone Mountain Trail Races,24k,https://ultrasignup.com/register.aspx?did=122692
2024-06-02,Goodwin Forest Trail Runs (Awaiting Update),10k,https://www.friendsofgoodwinforest.org/goodwin-forest-trail-run.html
2025-06-15,Nipmuck South Trail Race,14.5mi,https://ultrasignup.com/register.aspx?did=122634
2025-06-21,HMF Summer Solstice Trail Run,8mi,http://www.hartfordmarathon.com/summer-solstice-trail-run
2024-08-03,People's Forest (Awaiting Update),7mi,http://greystoneracing.net/pages/applications.html
2024-09-08,Macedonia Trail Race (Awaiting Update),25k,https://www.steependurance.com/macedonia-trail-race.html
2025-09-21,Trails to a Cure (Cockaponset Trail),8mi,https://runsignup.com/Race/CT/Chester/CockaponsettTrailstoaCure
2025-09-28,Tunxis Trail Race,30k,https://ultrasignup.com/register.aspx?did=104859
2025-10-05,NipMuck Trail Marathon,26.4mi,https://ultrasignup.com/register.aspx?did=122310
2024-10-13,Mohawk Mountain Race (Awaiting Update),21k,https://www.steependurance.com/mohawk-mountain-race.html
2024-10-20,Bimbler's Bluff (Awaiting Update),50k,https://bimblersound.com/WordPress/bluff/
